INFO   | 2025-06-12 17:16:39 | app.routers.auth     | 20 | POST /login - Authenticating user
ERROR  | 2025-06-12 17:16:39 | app.routers.auth     | 43 | ❌ Database error during authenticating user!!
INFO   | 2025-06-12 17:17:51 | app.routers.auth     | 20 | POST /login - Authenticating user
ERROR  | 2025-06-12 17:17:51 | app.routers.auth     | 43 | ❌ Database error during authenticating user!!
INFO   | 2025-06-12 17:24:56 | app.routers.auth     | 20 | POST /login - Authenticating user
ERROR  | 2025-06-12 17:24:56 | app.routers.auth     | 43 | ❌ Database error during authenticating user!!
INFO   | 2025-06-12 17:26:08 | app.routers.auth     | 20 | POST /login - Authenticating user
ERROR  | 2025-06-12 17:26:08 | app.routers.auth     | 29 | The password entered is invalid: 123456
INFO   | 2025-06-12 17:26:26 | app.routers.auth     | 20 | POST /login - Authenticating user
ERROR  | 2025-06-12 17:26:27 | app.routers.auth     | 29 | The password entered is invalid: 1234
INFO   | 2025-06-12 17:26:32 | app.routers.auth     | 20 | POST /login - Authenticating user
INFO   | 2025-06-12 17:26:32 | app.routers.auth     | 38 | User authenticated successfully!!
INFO   | 2025-06-13 11:31:00 | app.routers.auth     | 20 | POST /login - Authenticating user
INFO   | 2025-06-13 11:31:00 | app.routers.auth     | 38 | User authenticated successfully!!
INFO   | 2025-06-13 12:08:08 | app.routers.auth     | 20 | POST /login - Authenticating user
INFO   | 2025-06-13 12:08:09 | app.routers.auth     | 38 | User authenticated successfully!!
INFO   | 2025-06-13 12:08:19 | app.routers.auth     | 20 | POST /login - Authenticating user
INFO   | 2025-06-13 12:08:19 | app.routers.auth     | 38 | User authenticated successfully!!
INFO   | 2025-06-13 12:42:16 | app.routers.auth     | 20 | POST /login - Authenticating user
INFO   | 2025-06-13 12:42:16 | app.routers.auth     | 38 | User authenticated successfully!!
INFO   | 2025-06-13 14:06:48 | app.routers.auth     | 20 | POST /login - Authenticating user
INFO   | 2025-06-13 14:06:49 | app.routers.auth     | 38 | User authenticated successfully!!
INFO   | 2025-06-13 17:14:05 | app.routers.auth     | 23 | POST /login - Authenticating user
INFO   | 2025-06-13 17:14:05 | app.routers.auth     | 47 | User authenticated successfully!!
INFO   | 2025-06-14 15:24:44 | app.routers.auth     | 23 | POST /login - Authenticating user
ERROR  | 2025-06-14 15:24:44 | app.routers.auth     | 52 | ❌ Database error during authenticating user!!
INFO   | 2025-06-14 16:15:10 | app.routers.auth     | 23 | POST /login - Authenticating user
INFO   | 2025-06-14 16:15:10 | app.routers.auth     | 47 | User authenticated successfully!!
INFO   | 2025-06-14 16:51:06 | app.routers.auth     | 23 | POST /login - Authenticating user
INFO   | 2025-06-14 16:51:06 | app.routers.auth     | 47 | User authenticated successfully!!
INFO   | 2025-06-14 17:34:09 | app.routers.auth     | 23 | POST /login - Authenticating user
INFO   | 2025-06-14 17:34:09 | app.routers.auth     | 47 | User authenticated successfully!!
INFO   | 2025-06-14 18:06:46 | app.routers.auth     | 23 | POST /login - Authenticating user
INFO   | 2025-06-14 18:06:47 | app.routers.auth     | 47 | User authenticated successfully!!
INFO   | 2025-06-14 18:48:46 | app.routers.auth     | 23 | POST /login - Authenticating user
INFO   | 2025-06-14 18:48:47 | app.routers.auth     | 47 | User authenticated successfully!!
INFO   | 2025-06-14 19:03:38 | app.routers.auth     | 23 | POST /login - Authenticating user
INFO   | 2025-06-14 19:03:38 | app.routers.auth     | 47 | User authenticated successfully!!
INFO   | 2025-06-15 18:54:26 | app.routers.auth     | 23 | POST /login - Authenticating user
INFO   | 2025-06-15 18:54:26 | app.routers.auth     | 47 | User authenticated successfully!!
INFO   | 2025-06-17 10:39:45 | app.routers.auth     | 23 | POST /login - Authenticating user
INFO   | 2025-06-17 10:39:46 | app.routers.auth     | 47 | User authenticated successfully!!
INFO   | 2025-06-17 12:56:32 | app.routers.auth     | 23 | POST /login - Authenticating user
INFO   | 2025-06-17 12:56:32 | app.routers.auth     | 47 | User authenticated successfully!!
